instruction,go,direction
14.8525666666667,16.3083333333333,3
25.5383,27.0060666666667,5
29.4042,30.6519666666667,5
33.0100666666667,34.6518333333333,2
43.3498,45.2875333333333,6
63.4412333333333,64.659,3
75.7329,77.8566666666667,7
99.4122666666667,100.996,4
110.595933333333,111.645733333333,3
119.9357,121.237466666667,4
123.9696,125.235333333333,2
128.817433333333,131.0052,1
154.996733333333,156.068533333333,8
163.932466666667,165.380233333333,5
168.606366666667,170.0941,4
172.388233333333,176.323933333333,2
184.4919,186.655666666667,4
190.741733333333,192.235533333333,7
195.4196,197.113366666667,5
200.0495,201.981266666667,2
210.1392,211.344966666667,5
219.912933333333,221.5067,1
231.5206,233.306366666667,5
236.090466666667,237.472266666667,4
239.970366666667,241.580133333333,3
252.240033333333,253.6178,6
257.4759,259.033666666667,8
279.599266666667,281.433033333333,1
284.459133333333,286.3849,1
289.059033333333,290.6848,3
293.8489,295.590633333333,5
303.9746,305.524366666667,7
312.3324,314.088133333333,4
330.591866666667,332.369633333333,1
336.8417,338.493466666667,3
347.4294,349.0372,7
370.254766666667,371.894533333333,8
375.944633333333,377.6544,5
380.3245,381.740266666667,5
384.1084,385.636166666667,2
389.316266666667,390.682033333333,3
393.204166666667,395.0459,7
403.129866666667,404.745633333333,1
407.619766666667,408.971533333333,8
414.889566666667,416.395333333333,5
427.391233333333,428.475,3
450.174566666667,451.844333333333,7
458.438366666667,459.728133333333,4
462.146266666667,463.884,2
470.806,472.165766666667,5
474.219933333333,475.783666666667,8
478.0038,479.0616,8
487.575566666667,489.2553,5
491.527433333333,493.4132,7
497.475266666667,498.925033333333,7
512.610866666667,514.250633333333,4
528.314433333333,529.9282,2
537.328166666667,539.259933333333,6
542.398033333333,543.9098,4
546.821933333333,548.513666666667,6
551.3198,552.603566666667,6
556.235666666667,557.863433333333,5
560.851533333333,562.4173,4
564.895433333333,566.4952,3
569.4013,571.157066666667,5
573.6272,575.370933333333,6
592.672666666667,594.6864,7
597.074533333333,598.4383,8
601.9224,603.156166666667,3
605.3763,606.766066666667,4
610.460166666667,611.981933333333,1
617.137966666667,618.701733333333,8
635.405466666667,636.951233333333,5
639.655366666667,640.899133333333,3
644.739233333333,646.131,3
649.3031,650.9109,1
657.142866666667,658.772633333333,5
661.358766666667,662.942533333333,6
665.696633333333,667.3324,6
669.362533333333,671.1103,3
675.468366666667,677.278166666667,7
679.360266666667,680.468033333333,3
691.371933333333,692.9217,1
702.657633333333,704.479366666667,6
707.2415,708.805266666667,8
727.964933333333,729.9127,7
737.020666666667,738.632433333333,3
744.862466666667,746.290233333333,4
749.766333333333,751.4521,1
756.034166666667,757.545933333333,5
760.142033333333,761.6358,7
766.023866666667,768.6576,6
770.993733333333,772.6055,3
777.667566666667,779.283333333333,8
789.701233333333,792.278966666667,7
808.2367,810.226466666667,6
814.014566666667,815.324333333333,3
818.866433333333,820.688166666667,6
822.852333333333,823.9941,8
827.396166666667,828.885933333333,6
831.592066666667,833.095833333333,4
848.9256,850.719333333333,6
862.7252,864.202966666667,3
872.430933333333,873.578733333333,2
890.534433333333,892.2482,6
894.066333333333,895.7021,1
922.611566666667,924.327333333333,7
927.087433333333,928.7672,6
934.131233333333,936.189,8
941.995033333333,943.784766666667,6
964.4424,966.350166666667,6
973.830133333333,975.7959,7
978.478,980.017766666667,4
982.7799,984.167666666667,4
993.8816,995.219366666667,4
997.6595,999.385266666667,7
1014.06303333333,1015.6108,2
1018.45693333333,1020.17066666667,2
1046.96413333333,1047.9939,8
1051.874,1053.2138,4
1055.3339,1056.39166666667,3
1059.67976666667,1061.49153333333,8
1064.84163333333,1066.6254,1
1074.73136666667,1076.67113333333,7
1088.81296666667,1090.17873333333,7
1094.18483333333,1095.6126,7
1097.82273333333,1099.5545,6
1110.3264,1112.07013333333,4
1114.15026666667,1115.53806666667,7
1117.5922,1119.23193333333,5
1124.974,1126.82973333333,5
1137.47563333333,1138.8314,8
1143.2495,1145.27723333333,6
1148.19136666667,1150.0211,5
1153.7592,1155.56096666667,7
1158.33106666667,1159.95283333333,3
1163.07293333333,1164.5847,6
1169.83273333333,1171.46253333333,5
1174.6466,1176.92036666667,6
1180.36646666667,1181.89823333333,3
1185.9263,1187.63606666667,3
1192.74613333333,1194.2619,7
1197.162,1198.80776666667,4
1202.39386666667,1203.9036,4
1208.2517,1209.57346666667,5
1224.15526666667,1226.197,6
1233.83696666667,1235.56673333333,8
1240.9928,1242.75856666667,1
1245.10466666667,1246.96043333333,6
1249.47653333333,1251.2323,2
1275.64383333333,1277.0816,5
1281.2577,1282.98943333333,7
1286.76153333333,1288.1493,5
1290.48143333333,1292.24316666667,2
1295.7653,1297.28503333333,5
1299.15516666667,1300.60093333333,7
1302.97706666667,1304.59083333333,1
1310.06286666667,1311.26866666667,8
