onset	duration	trial_type
0.0000	0.8000	Concrete
3.2000	0.7000	Abstract
6.8000	0.6000	Nonword
10.5000	0.7000	Nonword
13.2000	0.7000	Nonword
16.0000	0.5000	Concrete
19.6000	0.6000	Nonword
22.3000	0.6000	Concrete
26.2000	1.0000	Nonword
30.2000	0.6000	Abstract
34.1000	0.8000	Nonword
36.7000	0.6000	Concrete
39.5000	0.6000	Concrete
42.5000	0.6000	Abstract
46.0000	0.7000	Nonword
49.2000	0.5000	Abstract
52.4000	0.7000	Concrete
55.9000	0.8000	Nonword
59.4000	0.7000	Abstract
65.2000	0.7000	Nonword
68.8000	0.5000	Abstract
72.3000	0.9000	Abstract
76.3000	0.5000	Nonword
80.0000	0.8000	Nonword
83.9000	0.5000	Concrete
87.0000	0.7000	Abstract
90.9000	0.6000	Nonword
93.7000	0.9000	Nonword
97.3000	0.8000	Nonword
100.8000	0.6000	Nonword
103.7000	0.6000	Nonword
106.6000	0.5000	Nonword
110.4000	0.6000	Nonword
114.1000	0.7000	Nonword
117.4000	0.7000	Abstract
120.1000	0.6000	Abstract
123.7000	0.5000	Concrete
127.0000	0.7000	Nonword
130.8000	0.9000	Nonword
134.3000	0.8000	Nonword
137.2000	0.7000	Nonword
141.1000	1.1000	Concrete
143.9000	0.8000	Nonword
147.2000	0.7000	Nonword
149.9000	0.6000	Nonword
152.8000	0.6000	Abstract
156.2000	0.6000	Abstract
158.9000	0.7000	Nonword
162.1000	0.8000	Nonword
165.3000	0.8000	Concrete
168.1000	0.6000	Concrete
171.4000	0.6000	Abstract
174.1000	0.5000	Abstract
177.1000	0.7000	Nonword
180.6000	0.5000	Concrete
183.2000	0.7000	Nonword
186.8000	0.6000	Abstract
189.3000	0.7000	Abstract
192.7000	0.7000	Nonword
196.1000	0.7000	Nonword
199.2000	2.1000	Abstract
201.8000	0.8000	Concrete
204.8000	0.7000	Nonword
208.5000	0.6000	Concrete
211.4000	1.0000	Concrete
215.0000	0.6000	Abstract
218.0000	0.9000	Nonword
221.4000	0.9000	Abstract
225.0000	0.7000	Nonword
227.6000	0.8000	Concrete
231.1000	0.7000	Concrete
234.7000	0.7000	Nonword
237.8000	0.6000	Abstract
240.9000	0.8000	Nonword
244.0000	0.7000	Concrete
247.4000	0.6000	Concrete
251.2000	0.8000	Nonword
254.3000	0.8000	Nonword
257.1000	0.6000	Concrete
